epoch_time,id,date_time,keyword,page
142397756920,4fc06f0f45c1498b0d2d2b62,1919-04-11T00:00:00Z,"budget deficit",12
142397756921,4fc094ca45c1498b0d3842dc,1920-11-16T00:00:00Z,"budget deficit",12
142397756922,4fd154a68eb7c8105d638283,1984-08-06T00:00:00Z,"budget deficit",12
142397756923,4fd1b0988eb7c8105d6d1f95,1990-10-10T00:00:00Z,"budget deficit",12
142397756924,4fd1b09b8eb7c8105d6d21fe,1990-10-17T00:00:00Z,"budget deficit",12
142397756925,4fd1b0988eb7c8105d6d1f90,1990-10-10T00:00:00Z,"budget deficit",12
142397756926,4fd1b2388eb7c8105d6d52a1,1990-10-14T00:00:00Z,"budget deficit",12
142397756927,4fd204dd8eb7c8105d76c52c,1998-01-30T00:00:00Z,"budget deficit",12
142397756927,4fd1bd3c8eb7c8105d6e99f3,1993-08-03T00:00:00Z,"budget deficit",12
142397757981,4fd18e9a8eb7c8105d694498,1990-01-28T00:00:00Z,"budget deficit",13
142397757982,4fd1970b8eb7c8105d6a4c1a,1990-10-16T00:00:00Z,"budget deficit",13
142397757983,4fd19b9a8eb7c8105d6ac86c,1990-10-08T00:00:00Z,"budget deficit",13
142397757984,4fd1bd418eb7c8105d6e9d94,1993-08-07T00:00:00Z,"budget deficit",13
142397757985,549d9f807988105ced78859c,2014-12-26T12:44:40Z,"budget deficit",13
142397757986,4fd1b15c8eb7c8105d6d360c,1990-10-18T00:00:00Z,"budget deficit",13
142397757986,4fd1b15e8eb7c8105d6d37a0,1990-10-07T00:00:00Z,"budget deficit",13
142397757987,4fd1b0948eb7c8105d6d1d0d,1990-10-07T00:00:00Z,"budget deficit",13
142397757988,4fd1945d8eb7c8105d69f560,1990-10-09T00:00:00Z,"budget deficit",13
142397757989,4fc07d9845c1498b0d319e3e,1922-11-22T00:00:00Z,"budget deficit",13
142397759041,4fc07d9845c1498b0d319e71,1922-11-18T00:00:00Z,"budget deficit",14
142397759042,4fd17ed08eb7c8105d679cd2,1987-06-21T00:00:00Z,"budget deficit",14
142397759043,4fd1b23c8eb7c8105d6d5523,1990-10-04T00:00:00Z,"budget deficit",14
142397759043,54034b577988105a0bd3f38b,2011-11-18T00:00:00Z,"budget deficit",14
142397759044,4fd1c3d68eb7c8105d6f3378,1990-10-19T00:00:00Z,"budget deficit",14
142397759045,4fc0c91645c1498b0d47610a,1932-11-22T00:00:00Z,"budget deficit",14
142397759046,54012b3479881068a1948146,2011-09-20T00:00:00Z,"budget deficit",14
142397759047,548ea86c79881018ac4ba93f,2007-02-06T00:00:00Z,"budget deficit",14
142397759048,515b8845fdc59278db00bffc,2011-11-22T00:00:00Z,"budget deficit",14
142397759049,4fd3a0cc8eb7c8105d8e6748,2011-08-30T11:39:09Z,"budget deficit",14
142397760098,515b88c2fdc59278db00c097,2011-11-19T00:00:00Z,"budget deficit",15
142397760099,4fd19aca8eb7c8105d6ab1bf,1988-08-16T00:00:00Z,"budget deficit",15
142397760100,54c68fbd798810239ad252b6,2015-01-26T14:00:49Z,"budget deficit",15
142397760100,4fd19d2b8eb7c8105d6af323,1990-10-03T00:00:00Z,"budget deficit",15
142397760101,4fd1a51c8eb7c8105d6bdec8,1990-10-19T00:00:00Z,"budget deficit",15
142397760102,5488998b7988104c17459b94,2014-12-10T14:02:32Z,"budget deficit",15
142397760103,4fd1a5198eb7c8105d6bdc3f,1990-10-14T00:00:00Z,"budget deficit",15
142397760104,4fd1bb328eb7c8105d6e5f5c,1993-08-04T00:00:00Z,"budget deficit",15
142397760105,4fd1baa88eb7c8105d6e4d9b,1993-04-09T00:00:00Z,"budget deficit",15
142397760106,4fd1a5188eb7c8105d6bdb7f,1990-10-07T00:00:00Z,"budget deficit",15
142397761168,4fd175338eb7c8105d66a2e1,1987-11-11T00:00:00Z,"budget deficit",16
142397761169,5087280d95e998af71188b00,2012-10-16T00:00:00Z,"budget deficit",16
142397761170,4fd1b0948eb7c8105d6d1d08,1990-10-07T00:00:00Z,"budget deficit",16
142397761171,524b9b6b7988105ad44f5438,2013-10-02T00:02:24Z,"budget deficit",16
142397761171,512531d4cf28d009de001006,2013-02-21T00:00:00Z,"budget deficit",16
142397761172,4fd1a5158eb7c8105d6bd88b,1990-10-11T00:00:00Z,"budget deficit",16
142397761173,4fd1f8398eb7c8105d7541cb,1997-02-07T00:00:00Z,"budget deficit",16
142397761174,4fd1a86b8eb7c8105d6c45f0,1993-05-29T00:00:00Z,"budget deficit",16
142397761176,50f8b61700315214fbb85a83,2013-01-18T00:00:00Z,"budget deficit",16
